Election Location,Office Name,FirstName,LastName,State
Castle Rock,Council D1,Pam,Gillies,CO
Castle Rock,Council D1,Ryan,Hollingshead,CO
Castle Rock,Council D2,Laura,Cavey,CO
Castle Rock,Council D2,William,Tubbs,CO
Castle Rock,Council D2,Katheryn,Wille,CO
Castle Rock,Council D2,James,Townsend,CO
Castle Rock,Council D4,Mark,Davis,CO
Castle Rock,Council D4,Randy,Reed,CO
Castle Rock,Council D4,Desiree,LaFleur,CO
Castle Rock,Council D6,Kevin,McHugh,CO
Castle Rock,Council D6,Paul,Cathey,CO
Castle Rock,Council D6,Timothy,Dietz,CO
Castle Rock,Council D6,Karen,Lindberg Jefferson,CO
Parker,Council,Brian,Carruthers,CO
Parker,Council,John,Diak,CO
Parker,Council,Michael,Drennan,CO
Parker,Council,Laura,Hefta,CO
Parker,Council,Todd,Hendreks,CO
Parker,Council,Timothy,Lynott,CO
Parker,Council,Abdulla,Zubair,CO
Parker,Mayor,Joshua,Rivero,CO
Parker,Mayor,Jeff,Toborg,CO
Carpinteria,Council D2,Natalia,Alarcon,CA
Carpinteria,Council D2,Adriana,González-Smith,CA
Dixon Unified School District,Trustee,Regina,Espinoza,CA
Dixon Unified School District,Trustee,Jimmy,Thiessen,CA
Dixon Unified School District,Trustee,Michael,Ceremello,CA
Dixon Unified School District,Trustee,Robin,Beck-Ruften,CA
Fairfield-Suisun Unified School,Trustee Area 1,Bethany,Smith,CA
Fairfield-Suisun Unified School,Trustee Area 1,Alonso,Duarte,CA
Fairfield-Suisun Unified School,Trustee Area 2,Helen,Tilley,CA
Fairfield-Suisun Unified School,Trustee Area 3,Judi,Honeychurch,CA
Fairfield-Suisun Unified School,Trustee Area 3,Brigette,Hunley,CA
Fairfield-Suisun Unified School,Trustee Area 6,Ana,Petero,CA
Fairfield-Suisun Unified School,Trustee Area 6,Shawn,Smith,CA
Fairfield-Suisun Unified School,Trustee Area 7,Perry,Polk,CA
Fairfield-Suisun Unified School,Trustee Area 7,Mikki,Parr,CA
Fairfield-Suisun Unified School,Trustee Area 7,Kai,Eusebio,CA
Fairfield-Suisun Unified School,Trustee Area 7,Steve,Quinlan,CA
River Delta Unified School,Trustee Area 4,Suzanne,Wilson,CA
River Delta Unified School,Trustee Area 4,Jordan,Davis,CA
Travis Unified School District,Trustee Area 2,Suzanne,Schwartz,CA
Vacaville Unified School District,Trustee Area 4,Lindsay,Kelly,CA
Vacaville Unified School District,Trustee Area 4,Audra,Orr,CA
Vacaville Unified School District,Trustee Area 7,Michael,Kitzes,CA
Vacaville Unified School District,Trustee Area 7,George,Burton,CA
Vacaville Unified School District,Trustee Area 7,Michele,Guerra,CA
Solano Irrigation District,Governing Board Div. 2,Charles,Herich,CA
Solano Irrigation District,Governing Board Div. 2,William,Brazelton,CA
Fairfield,Council D4,Pam,Bertani,CA
Fairfield-Suisun Unified School,Trustee Area 2,Audrey,Jacques,CA
Fairfield-Suisun Unified School,Trustee Area 2,Suzanne,Murphy,CA
Fairfield,Council D4,Joseph,Joyce,CA
Fairfield,Council D6,Anna,Eaton,CA
Fairfield,Council D6,Manveer,Sandhu,CA
Rio Vista,Mayor,John,Lompa,CA
Rio Vista,Mayor,Edwin,Okamura,CA
Tulare Memorial Director,Director Veteran Seat,Darla,Rambonga,CA
Capitola,Council,Dolmo,Enriquw,CA
Sierra Community College,Trustee Area 7,Bob,Sinclair,CA
Sierra Community College,Trustee Area 7,Bao,Nguyen,CA
AZ,USC D4,Vincent,Beck-Jones,AZ
AZ,SS D3,John,Kavanagh,AZ
TN,USC D5,Maryam,Abolfazli,TN
TN,SH D24,Andrea,Chase,TN
TN,SH D29,Ryan,Scofield,TN
TN,SH D30,Esther,Helton-Haynes,TN
TN,SH D30,Heather,McClendon,TN
TN,SH D34,Amelia,Pant,TN
TN,SH D63,Laura,Andreson,TN
TN,SH D64,Eileen,Longstreet,TN
TN,SH D66,Elizabeth,Webb,TN
TN,SH D71,Kip,Capley,TN
TN,SH D71,Tim,Coy,TN
KS,USC D2,John,Hauer,KS
KS,USC D3,Steve,Roberts,KS
KS,SS D12,Cullene,Lang,KS
KS,SS D30,Richard,Smith,KS
Molalla,Mayor,Scott,Keyser,OR
Molalla,Council,Darci,Lightner,OR
Molalla,Council,Tom,Luttrell,OR
Molalla,Council,Eric,Vermillion,OR
Asbury Park,Coucilmember At-Large,Amy,Quinn,NJ
Asbury Park,Coucilmember At-Large,Yvonne,Clayton,NJ
Asbury Park,Coucilmembers At-Large,Eileen,Chapman,NJ
Asbury Park,Coucilmembers At-Large,Garrett,Giberson,NJ
Asbury Park,Coucilmembers At-Large,John,Loffredo,NJ
Asbury Park,Coucilmembers At-Large,Jill,Potter,NJ
Bradley Beach Borough,Mayor,William,Psiuk,NJ
Bradley Beach Borough,Mayor,Alan,Gubitosi,NJ
Bradley Beach Borough,Council,Shana,Greenblatt,NJ
Bradley Beach Borough,Council,Donald,Warnet,NJ
Eatontown Borough,Council,Mariel,Hufnagel,NJ
Eatontown Borough,Council,Carl,Lawson,NJ
Eatontown Borough,Council,Maria,Escalante,NJ
Eatontown Borough,Council,David,Gindi,NJ
Eatontown Borough,Council,Al,Baginsky,NJ
Eatontown Borough,Council,Karen,Zaletel,NJ
Freehold Borough,Council,Sharon,Shutzer,NJ
Keyport Borough,Council,Joseph,Merla,NJ
Keyport Borough,Council,Althea,Washington,NJ
Matawan Borough,Council,John,Christopher,NJ
Matawan Borough,Council,Megan,Taraszkiewicz,NJ
Matawan Borough,Council,Suzanne,Reynolds,NJ
Matawan Borough,Council,Charles,Ross,NJ
Middletown Township,Township Committee,Michael,Morris,NJ
Middletown Township,Township Committee,Tony,Perry,NJ
Neptune Township,Township Committee,Derel,Stroud,NJ
Neptune Township,Township Committee,Kevin,McMillan,NJ
Neptune Township,Township Committee,Jessica,Ford,NJ
Neptune Township,Township Committee,Rachael,Stolte,NJ
Wall Township,Township Committee,Timothy,Farrell,NJ
Wall Township,Township Committee,Keith,Hunsinger,NJ
Matawan-Aberdeen Regional Board Of Education,Board Member,John,Montone,NJ
Matawan-Aberdeen Regional Board Of Education,Board Member,Dianna,Pell,NJ
Matawan-Aberdeen Regional Board Of Education,Board Member,Dusty,Dyer,NJ
Matawan-Aberdeen Regional Board Of Education,Board Member,Shelley,Gershner,NJ
Asbury Park Board Of Education,Board Member,Stephanie,Ackerman,NJ
Asbury Park Board Of Education,Board Member,Dominic,Latorraca,NJ
Asbury Park Board Of Education,Board Member,Jessie,Ricks,NJ
Asbury Park Board Of Education,Board Member,Shadab,Maghsood,NJ
Asbury Park Board Of Education,Board Member,Danielle,Brascomb,NJ
Asbury Park Board Of Education,Board Member,Mariella,Soria-Flores,NJ
Colts Neck Township Board Of Education,Board Member,Mark,Chersevani,NJ
Colts Neck Township Board Of Education,Board Member,Brenna,Dillon,NJ
Colts Neck Township Board Of Education,Board Member,Amy,Dimes,NJ
Colts Neck Township Board Of Education,Board Member,Vanessa,Dawson,NJ
Colts Neck Township Board Of Education,Board Member,Robert,Scales,NJ
Colts Neck Township Board Of Education,Board Member,Brian,Scarpa,NJ
Colts Neck Township Board Of Education,Board Member,Sara,Horowitz,NJ
Colts Neck Township Board Of Education,Board Member,Tracy,Kramer,NJ
Colts Neck Township Board Of Education,Board Member,Phyllis,Camera,NJ
Hazlet Township Board Of Education,Board Member,Steven,Grossman,NJ
Hazlet Township Board Of Education,Board Member,Maria,Geoghan,NJ
Hazlet Township Board Of Education,Board Member,David,Bibb,NJ
Hazlet Township Board Of Education,Board Member,Lori,Joseph,NJ
Hazlet Township Board Of Education,Board Member,Angela,Barger,NJ
Holmdel Township Board Of Education,Board Member,Kimberly,Tuccillo,NJ
Holmdel Township Board Of Education,Board Member,Jeff,Sargent,NJ
Holmdel Township Board Of Education,Board Member,Terence,Wall,NJ
Holmdel Township Board Of Education,Board Member,Mary,Corrigan,NJ
Holmdel Township Board Of Education,Board Member,John,Giampolo,NJ
Freehold Regional High School District Board Of Education,Board Member,Gabriella,Gugliotta-Comes`,NJ
Freehold Regional High School District Board Of Education,Board Member,Peter,Bruno,NJ
Freehold Regional High School District Board Of Education,Board Member,Michael,Jarmon,NJ
Freehold Regional High School District Board Of Education,Board Member,Joan,Butcher-Farkas,NJ
Freehold Borough,Council,Annette,Jordan,NJ
Freehold Borough,Council,Richard,Gartz,NJ
Freehold Borough,Council,Autumn,Nonnenmacher,NJ
Freehold Township,Council,Anthony,Ammiano,NJ
Freehold Township,Council,Thomas,Cook,NJ
Freehold Township,Council,Michael,Murphy,NJ
Hazlet Township,Township Committee,Laura,Bibb,NJ
Hazlet Township,Township Committee,Peter,Terranova,NJ
Hazlet Township,Township Committee,Alice,Campos-Zanghi,NJ
Howell Township,Mayor,John,Leggio,NJ
Howell Township,Council,Rebecca,Scott,NJ
Howell Township,Council,Evelyn,ODonnell,NJ
Howell Township,Council,Betty,Velez-Gimbel,NJ
Keyport Borough,Council,Kathleen,McNamara,NJ
Keyport Borough,Council,Robert,Bergen,NJ
Howell Township Board Of Education,Board Member,Margaret,Lazur,NJ
Howell Township Board Of Education,Board Member,Matthew,Withers,NJ
Howell Township Board Of Education,Board Member,Suzanne,Gabriel,NJ
Howell Township Board Of Education,Board Member,Jennifer,Okerson,NJ
Howell Township Board Of Education,Board Member,Stephen,Levine,NJ
Howell Township Board Of Education,Board Member,Frank,Maletto,NJ
Long Branch Board Of Education,Board Member,Jon,Zimmerman,NJ
Long Branch Board Of Education,Board Member,Violeta,Peters,NJ
Long Branch Board Of Education,Board Member,Julio,Rivas,NJ
Long Branch Board Of Education,Board Member,Joseph,Ferraina,NJ
Long Branch Board Of Education,Board Member,Raymond,Garland,NJ
Long Branch Board Of Education,Board Member,Michael,Zimmermann,NJ
Long Branch Board Of Education,Board Member,Dominic,Sama,NJ
Long Branch Board Of Education,Board Member,Jason,DeSantis,NJ
Manalapan-Englishtown Board Of Education,Board Member,Mirsad,Capric,NJ
Manalapan-Englishtown Board Of Education,Board Member,David,Ferber,NJ
Manalapan-Englishtown Board Of Education,Board Member,Serena,Wallace,NJ
Marlboro Township Board Of Education,Board Member,Danielle,Bellomo,NJ
Marlboro Township Board Of Education,Board Member,Gill,Iny,NJ
Marlboro Township Board Of Education,Board Member,Nirav,Kadakia,NJ
Marlboro Township Board Of Education,Board Member,Brian,Cohen,NJ
Marlboro Township Board Of Education,Board Member,Jenna,Corraro,NJ
Marlboro Township Board Of Education,Board Member,Aldo,Patruno,NJ
Middletown Township Board Of Education,Board Member,Mark,Soporowski,NJ
Middletown Township Board Of Education,Board Member,Joan,Minnuies,NJ
Middletown Township Board Of Education,Board Member,Deborah,Wright,NJ
Middletown Township Board Of Education,Board Member,Katherine,Farley,NJ
Middletown Township Board Of Education,Board Member,Sara,Weinstein,NJ
Millstone Township Board Of Education,Board Member,Deborah,Riley,NJ
Millstone Township Board Of Education,Board Member,Paula,Kinsey,NJ
Millstone Township Board Of Education,Board Member,Christine,Reese,NJ
Millstone Township Board Of Education,Board Member,Christina,Haritos,NJ
Millstone Township Board Of Education,Board Member,Theodore,Filis,NJ
Millstone Township Board Of Education,Board Member,Brendan,O'Donnell,NJ
Tavares,Council Seat 1,Bob,Grenier,FL
Tavares,Council Seat 1,Nick,Hendrick,FL
Tavares,Council Seat 1,Belynda,Rinck,FL
Eustis,Commissioner Seat 4,George,Asbate,FL
Eustis,Commissioner Seat 4,Michael,Gambino,FL
Altamonte Springs,Commissioner D4,Bob,O'Malley,FL
Altamonte Springs,Commissioner D4,Eric,Soto,FL
Opa-Locka,Commissioner,Chris,Davis,FL
Opa-Locka,Commissioner,Brian,Dennis,FL
Opa-Locka,Commissioner,Audrey,Dominguez,FL
Opa-Locka,Commissioner,Joseph,Kelley,FL
Opa-Locka,Commissioner,Luis,Santiago,FL
Opa-Locka,Commissioner,Retevea,Bain-Walden,FL
Eureka,Council W4,Thavisak,Syphanthong,CA
Arcadia,Council D1,David,Fu,CA
North Miami Beach,Commissioner Seat 5,Ketley,Joachim,FL
North Miami Beach,Commissioner Seat 5,McKenzie,Fleurimond,FL
Palmetto Bay,Vice Mayor,Mark,Merwitzer,FL
Palmetto Bay,Vice Mayor,Leanne,Tellam,FL
Palmetto Bay,Council Seat 2,Steve,Cody,FL
Key Biscayne,Council,Michael,Bracken,FL
Key Biscayne,Council,Franklin,Caplan,FL
Key Biscayne,Council,Nicolas,Lopez-Jenkins,FL
Key Biscayne,Council,Nancy,Stoner,FL
West Park,City Commissioner Seat 3,Gernald,Hawkins,FL
WA,SS D3,Jim,Wilson,WA
Benton County,County Commissioner D3,Will,McKay,WA
Benton County,County Commissioner D3,Zach,Fluharty,WA
Clark County,County Councilor D3,Chuck,Keplar,WA
Clark County,County Councilor D3,Wil,Fuentes,WA
Clark County,County Councilor D4,Joe,Zimmerman,WA
Clark County,County Councilor D4,Matt,Little,WA
Grant County,County Commissioner D1,Kevin,Burgess,WA
Grant County,County Commissioner D1,Amador,Castro,WA
Grant County,County Commissioner D2,Rob,Jones,WA
Grant County,County Commissioner D2,David,Henderson,WA
Kitsap County,County Commissioner D2,Sean,Murphy,WA
Kitsap County,County Commissioner D2,Oran,Root,WA
Lewis County,County Commissioner D1,Sean,Swope,WA
Lewis County,County Commissioner D1,Damian,Bean,WA
Lewis County,County Commissioner D2,Lindsey,Pollock,WA
Lewis County,County Commissioner D2,Christina,Riley,WA
Pierce County,Executive,Ryan,Mello,WA
Pierce County,Executive,Kelly,Chambers,WA
Pierce County,Assessor - Treasurer,Marty,Campbell,WA
Pierce County,Assessor - Treasurer,Kent,Keel,WA
Pierce County,Sheriff,Keith,Swank,WA
Pierce County,Sheriff,Patti,Jackson,WA
Pierce County,County Commissioner D2,Paul,Herrera,WA
Pierce County,County Commissioner D2,Davida,Haygood,WA
Pierce County,County Commissioner D3,Amy,Cruver,WA
Pierce County,County Commissioner D3,John,Linboe,WA
Pierce County,County Commissioner D4,Rosie,Ayala,WA
Pierce County,County Commissioner D4,Rodney,Robinson,WA
Pierce County,County Commissioner D6,Loujanna,Rohrer,WA
Pierce County,County Commissioner D6,Jani,Hitchen,WA
KS,SS D30,Olivia,Hayse,KS
KS,SH D17,Jo Ella,Hoye,KS
KS,SH D17,Michael,Kerner,KS
KS,SH D18,Steven,Hohe,KS
KS,SH D53,Aric,Hermann,KS
KS,SH D61,Francis,Awerkamp,KS
KS,SH D61,Robert,Thomas,KS
KS,SH D96,Joseph,Trotter,KS
KS,SH D105,Jill Ann,Ward,KS
KS,SH D109,Peter,Solie,KS
KS,State Board of Education D2,Kiel,Corkran,KS
KS,State Board of Education D10,Kent,Rowe,KS
Socorro,Mayor,Rudy,Cruz,TX
Socorro,Council D3,Gina,Cordero,TX
Socorro,Council D3,Heriberto,Ortiz,TX
Socorro,Council D4,Alejandro,Saldana,TX
Socorro,Council D4,Yvonne,Colon-Villalobos,TX
Napa,Mayor,Tuesday,Allison,CA
Napa,Mayor,Scott,Sedgley,CA
Arcata,Council,Stacy,Atkins-Salazar,CA
Arcata,Council,Gregory,Daggett,CA
Arcata,Council,Sarah,Schaefer,CA
Arcata,Council,Genevieve,Serna,CA
MA,SS 1st Middlesex,Edward,Kennedy,MA
MA,SS 1st Middlesex,Karla,Miller,MA
MA,"SS Norfolk, Worcester, and Middlesex District",Becca,Rausch,MA
MA,"SS Norfolk, Worcester, and Middlesex District",Dashe,Videira,MA
MA,SH 1st Barnstable District,Chris,Flanagan,MA
MA,SH 1st Barnstable District,Gerald,O'Connell,MA
MA,SH 2nd Bristol District,James,Hawkins,MA
MA,SH 2nd Bristol District,Andrew,Nelson,MA
MA,SH 2nd Essex District,Kristin,Kassner,MA
MA,SH 2nd Essex District,Mark,Tashjian,MA
MA,"SH, 8th Bristol",Christopher,Thrasher,MA
MA,SH 13th Middlesex District,Carmine,Gentile,MA
MA,SH 13th Middlesex District,Virginia,Gardner,MA
MA,SH Nineteenth Middlesex District,George,Ferdinand,MA
DE,SH D7,Larry,Lambert,DE
DE,SH D7,Shane,Stoneman,DE
DE,SH D12,Krista,Griffith,DE
DE,SH D12,Steve,Pickering,DE
DE,SH D32,Kerri,Harris,DE
DE,SH D32,Amy,Spampinato,DE
NH,Governor,Stephen,Villee,NH
NH,SS D16,Keith,Murphy,NH
Klein Independent School District,Board Member  Pos. 3,Natalie,Pilkinton,TX
CT,USS,Matthew,Corey,CT
CT,SS D9,Matthew,Lesser,CT
CT,SS D26,Kami,Evans,CT
CT,SH D28,Amy,Bello,CT
CT,SH D28,William,Davidson,CT
CT,SH D92,Patricia,Dillon,CT
CT,SH D92,Morris,Sumpter,CT
CT,SH D109,Farley,Santos,CT
CT,SH D109,Barbara,Kurpiewski,CT
CT,SH D137,Kadeem,Roberts,CT
CT,SH D137,Pietro,Rotondo,CT
CT,SH D142,Lucy,Dathan,CT
CT,SH D145,Corey,Paris,CT
CT,SH D145,Fritz,Blau,CT
Klein Independent School District,Board Member  Pos. 4,Benny,Kinsey,TX
Klein Independent School District,Board Member  Pos. 4,Denise,Morrison,TX
Klein Independent School District,Board Member  Pos. 5,Justin,Wooldridge,TX
Klein Independent School District,Board Member  Pos. 5,Nicole,Peters,TX
Brownsville Independent School District,Board Member  Pos. 3,Victor,Caballero,TX
Brownsville Independent School District,Board Member  Pos. 5,Nelda,Rocha,TX
Brownsville Independent School District,Board Member  Pos. 5,Daniella,Lopez Valdez,TX
Brownsville Independent School District,Board Member  Pos. 6,Marisa,Leal,TX
Brownsville Independent School District,Board Member  Pos. 6,Minerva,Peña,TX
Brownsville Independent School District,Board Member  Pos. 7,Erasmo,Castro,TX
Brownsville Independent School District,Board Member  Pos. 7,Farley,Trevino,TX
Clint Independent School District,Board Member At-Large,Maria,Marcias,TX
Clint Independent School District,Board Member At-Large,Ignacio,Martinez,TX
Henry County,County Commission D4,John,Blount,GA
Henry County,County Commission D4,Phedra,Thomas,GA
Henry County,County Commission D4,Robert,Kolpak,GA
Orange County,County Commissioner D5,Steve,Leary,FL
Dunedin,Council Seat 3,Kate,Spangler,FL
Cape Canaveral,Mayor,Wes,Morrison,FL
Cape Canaveral,Mayor,Angela,Raymond,FL
Cocoa City,Mayor,Mike,Blake,FL
Cocoa City,Mayor,George,Cowart,FL
Cocoa Beach,Mayor,Keith,Capizzi,FL
Cocoa Beach,Mayor,Dave,Netterstrom,FL
Cocoa Beach,Commissioner Seat 2,Angela,Cobb,FL
Cocoa Beach,Commissioner Seat 3,Michael,Johnson,FL
Cocoa Beach,Commissioner Seat 3,Tim,Tumulty,FL
Indian Harbour Beach City,Council Seat 3,Susan,Ruimy,FL
Melbourne,Council D1,Dean,Paterakis,FL
Melbourne,Council D1,Marcus,Smith,FL
Rockledge,Council Seat 6,Tara,Connor,FL
Satellite Beach,Council,Nicolle,Boujaber,FL
Satellite Beach,Council,Mike,Chase,FL
Satellite Beach,Council,Jazzie,Hennings,FL
Satellite Beach,Mayor,Gabriel,Johnson,FL
Satellite Beach,Mayor,Steven,Osmer,FL
Satellite Beach,Council,Stephen,Sams,FL
West Melbourne,Council,Adam,Gaffney,FL
Pasco County,County Commissioner D3,Janine,Duffy,FL
Winter Springs,City Commissioner D3,Sarah,Baker,FL
Winter Springs,City Commissioner D3,Karen,Meyer,FL
Venice,Council D4,James,Boldt,FL
Venice,Council D4,Joan,Iacono,FL
Molalla,Mayor,Jennifer,Satter,OR
Molalla,Mayor,Amy,Williams,OR
Molalla,Council,Doug,Gilmer,OR
Eureka,Council W2,Kenny,Carswell,CA
Arcadia,Council D1,David,Arvizu,CA
Arcadia,Council D4,Paul,Cheng,CA
Arcadia,Council D4,Steve,Rhee,CA
VT,USS,Steve,Berry,VT
VT,USS,Mark,Greenstein,CT
VT,USS,Matt,Hill,VT
VT,USS,Justin,Schoville,VT
VT,USC,Adam,Ortiz,VT
VT,Governor,June,Goodband,VT
VT,Governor,Kevin,Hoyt,VT
VT,Governor,Eli,Mutino,VT
VT,SS Ben 1 District,Cynthia,Browning,VT
VT,SS Ben 1 District,Rob,Plunkett,VT
VT,SS Ben 1 District,Lawrence,Whitmire,VT
VT,SS Chi SE 1 District,Taylor,Craven,VT
VT,SS Lam 1 District,Maureen,Heck,VT
VT,SS Lam 1 District,Richard,Westman,VT
VT,SS Rut 1 District,Dana,Peterson,VT
VT,SS Was 1 District,Michael,Deering,VT
VT,SS Was 1 District,Michael,Doyle,VT
VT,SS Wdh 1 District,Ken,Fay,VT
VT,SH Add 2 District,Peter,Conlon,VT
VT,SH Add 2 District,Christine,Stone,VT
Baldwin Park,Council,Laura,Franklin,CA
Baldwin Park,Council,Manuel,Lozano,CA
Baldwin Park,Council,Daniel,Damian,CA
Baldwin Park,Council,Emmanuel,Estrada,CA
Baldwin Park,Council,Marlen,Garcia,CA
Baldwin Park,Council,Joanna,Valenzuela,CA
Baldwin Park,Council,George,Silva,CA
Baldwin Park,Council,Christopher,Saenz,CA
Bell Gardens,Council,Miguel,De La Rosa,CA
Bell Gardens,Council,Jennifer,Rodriguez,CA
Bell Gardens,Council,Jorgel,Chavez,CA
Bellflower,Council D1,Wendi,Morse,CA
Bellflower,Council D1,Aaron,Drake,CA
Burbank,Council,Hovanes,Tonoyan,CA
VT,SH Ben 1 District,Bruce,Busa,VT
VT,SH Ben 1 District,Jonathan,Cooper,VT
VT,SH Cal Esx District,Deborah,Dolgin,VT
VT,SH Chi 19 District,Spencer,Sherman,VT
VT,SH Chi 20 District,Joshua,Cropp,VT
VT,SH Chi 24 District,Alyssa,Black,VT
VT,SH Chi 24 District,Ron,Lawrence,VT
VT,SH Fra 1 District,Ashley,Bartley,VT
VT,SH Fra 1 District,Carolyn,Branagan,VT
VT,SH Fra 3 District,Joe,Luneau,VT
VT,SH Fra 4 District,Thomas,Oliver,VT
VT,SH Fra 4 District,Matthew,Walker,VT
VT,SH Lam 3 District,Lucy,Boyden,VT
VT,SH Lam 3 District,Paul,Sciortino,VT
VT,SH Lam Was District,Charles,Burnham,VT
VT,SH Lam Was District,Nick,Lopez,VT
